 ID         COMBO ID
 RA         Right ascension (J2000)
 DEC        Declination (J2000)
 Rmag       total magnitude in R
 e_Rmag     mean error (1-sigma) of Rmag
 Ap_Rmag    aperture magnitude in R
 ApD_Rmag   aperture difference of Rmag 
 phot_flag  flags on photometry 
 var_flag   variability flag (0=not variable)
 MC_class   multi-colour class 
 MC_z       mean redshift in distribution of p(z)
 e_MC_z     mean error (1-sigma) of MC_z
 MC_z2      alternative redshift if p(z) bimodal
 e_MC_z2    mean error (1-sigma) of MC_z2
 MC_z_ml    peak of redshift distribution p(z)
 dl         luminosity distance of MC_z(Mpc) 
 chi2red    reduced Chi^2 of best-fitting template
